"servername","dbname","Table","Index_or_Statistics","T-SQL Drop Command"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_stat_418100530_25_20_1_45_3_81_22_19_18_41]","USE abillity_42712; DROP INDEX [_dta_stat_418100530_25_20_1_45_3_81_22_19_18_41] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_stat_418100530_20_1_45_3_81]","USE abillity_42712; DROP INDEX [_dta_stat_418100530_20_1_45_3_81] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_stat_418100530_1_45_3_81_22_25]","USE abillity_42712; DROP INDEX [_dta_stat_418100530_1_45_3_81_22_25] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_stat_418100530_19_18_20_41_45_3_2_25_1_22]","USE abillity_42712; DROP INDEX [_dta_stat_418100530_19_18_20_41_45_3_2_25_1_22] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K19_K18_K20_K41_K2_K3_K45_K25_K1_K22_K81_26_28_30_32_46_93]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K19_K18_K20_K41_K2_K3_K45_K25_K1_K22_K81_26_28_30_32_46_93] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K81_K19_K18_K20_K41_K3_K1_K45_K2_K22_K25_26_28_30_32_46_93]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K81_K19_K18_K20_K41_K3_K1_K45_K2_K22_K25_26_28_30_32_46_93] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K22_K19_K18_K20_K41_K3_K1_K45_K2_K81_K25_26_28_30_32_46_93]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K22_K19_K18_K20_K41_K3_K1_K45_K2_K81_K25_26_28_30_32_46_93] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K1_K45_K3_K81_K22_K25_K20_K19_K41_K2_K18_26_28_30_32_46_93]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K1_K45_K3_K81_K22_K25_K20_K19_K41_K2_K18_26_28_30_32_46_93] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K1_K45_K3_K81_K22_K2_K19_K20_K41_K18_K25_26_28_30_32_46_93]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K1_K45_K3_K81_K22_K2_K19_K20_K41_K18_K25_26_28_30_32_46_93] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K19_K20_K41_K2_K3_K45_K18_K25_K1_K22_K81_26_28_30_32_46_93]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K19_K20_K41_K2_K3_K45_K18_K25_K1_K22_K81_26_28_30_32_46_93] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K1_K45_K3_K81_K22_K20_K19_K41_K2_K18_K25_26_28_30_32_46_93]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K1_K45_K3_K81_K22_K20_K19_K41_K2_K18_K25_26_28_30_32_46_93] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K1_K45_K3_K81_K22_K41_K19_K20_K2_K18_K25_26_28_30_32_46_93]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K1_K45_K3_K81_K22_K41_K19_K20_K2_K18_K25_26_28_30_32_46_93] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K81_K19_K20_K41_K3_K1_K45_K2_K18_K22_K25_26_28_30_32_46_93]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K81_K19_K20_K41_K3_K1_K45_K2_K18_K22_K25_26_28_30_32_46_93] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K3_K1_K45_K81_K22_K19_K20_K41_K2_K18_K25_26_28_30_32_46_93]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K3_K1_K45_K81_K22_K19_K20_K41_K2_K18_K25_26_28_30_32_46_93] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K22_K19_K20_K41_K3_K1_K45_K2_K18_K81_K25_26_28_30_32_46_93]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K22_K19_K20_K41_K3_K1_K45_K2_K18_K81_K25_26_28_30_32_46_93] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K20_K1_K45_K3_K81_K22_K19_K41_K2_K18_K25_26_28_30_32_46_93]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K20_K1_K45_K3_K81_K22_K19_K41_K2_K18_K25_26_28_30_32_46_93] ON [dbo].[incidents];"
